Character,Relationship Type,Target Character
Cross Station,mock,Platform Nine
Firenze,rescues,Ronan
Harry,arrives,Voldemort
Hermione,joins,Snape
Harry,arrives,Draco Malfoy
Lily,s,Hagrid
Harry,arrives,Hermione
Fluffy,s,Stone
Snape,causes,Stone
Hagrid,arrives,Malfoy
Professor,scolds,Malfoy
Mr. Ollivander,lives,Hagrid
Ron,shared,Argus Filch
Argus Filch,begin,Astronomy
Harry,arrives,Nicolas Flamel
Professor Quirrell,scolds,Voldemort
Privet Drive,lives,Harry
Hermione,joins,Filch
Harry,arrives,Hagrid
Aunt Petunia,wakes,Uncle Vernon
Hagrid,arrives,Ron
Gryffindor,hoping,Hidden
Dumbledore,arrives,Professor McGonagall
Harry,arrives,Brazil
Ron,shared,Gryffindor
Harry,arrives,Malfoy
Dudley,growing,Aunt Petunia
Professor Quirrell,scolds,Fluffy
Harry,arrives,Afterward
Hagrid,arrives,Fluffy
Hagrid,arrives,Ravenclaw
Harry,arrives,Uncle Vernon
Mr. Ollivander,lives,Harry
Harry,arrives,Ron
Harry,arrives,Professor Quirrell
Ron,shared,Stone
Professor McGonagall,scolds,Voldemort
Voldemort,s,Hagrid
Ron,shared,Leviosa
Hagrid,arrives,Uncle Vernon
Harry,arrives,Slytherin
Ron,shared,Snape
Harry,arrives,Dudley
Harry,arrives,Malkin
Dumbledore,arrives,Hagrid
Harry,arrives,Firenze
Professor Sprout,scolds,Devil
Harry,arrives,Cross Station
Professor Quirrell,scolds,Slytherin
Voldemort,s,Lily
Ron,shared,Hermione
Harry,arrives,Stonewall High
Ron,shared,Filch
Malfoy,offers,Neville
Stone,turn,Firenze
Hagrid,arrives,Dudley
Harry,arrives,Oliver Wood
Snape,causes,Fluffy
Mr. Dursley,lives,Harry Potter
Harry,arrives,Flamel
Dudley,growing,Uncle Vernon
Harry,arrives,Gryffindor
Ron,shared,Charlie
Voldemort,s,Stone
Harry,arrives,Hogwarts
Professor,scolds,Snape
Harry,arrives,Aunt Petunia
Hagrid,arrives,Snape
Harry,arrives,Ron Weasley
Harry,arrives,Midnight
Nicolas Flamel,sparking,Stone
Ron,shared,Hermione Granger
Harry,arrives,Griphook
Mr. Dursley,lives,Potter
Hagrid,arrives,Hogwarts
Hagrid,arrives,Nicolas Flamel
Harry,arrives,Snape
Afterward,addresses,Percy
